artist_name,artist_id
100 Kila,18801
100s,49243
12 Gauge,538810
2 Chainz,14325
2 Pistols,2751
2$ Fabo,56091
21 Savage,980465
2Mex,2742
360,631097
40 Glocc,11353
50 Cent,108
6ix9ine,1124097
6lack,189848
The 6th Letter,12366
9th Wonder,1502
Afrika Bambaataa,664145
Andre 3000,1282906
Big Boi,318
A.CHAL,574391
A+,1277357
A-Q,105
Ab-Soul,2049
A Boogie wit da Hoodie,639521
Abstract Rude,2921
Ace Hood,460
Aceyalone,1593
Action Bronson,12404
Adam Saleh,1031469
Aesop Rock,178
Afroman,1337
Afu-Ra,444
Agallah,4464
Ahmad,2994
Ajs Nigrutin,22318
AKA,438
Akala,1348
Akinyele,48147
Akir,15721
Akiva Schaffer,940
Akon,157
The Alchemist,978030
Ali Vegas,3067
Alpha,215
AMG,216
Amil,901
Aminé,26577
Amir Obè,206705
Ampichino,11285
Anderson .Paak,58017
André 3000,1282906
Andre Nickatina,814
Andy Mineo,14035
Andy Samberg,21632
Angel Haze,13756
Angie Martinez,1678
Ant,47131
Ant Banks,3455
Antoinette,2266
Anybody Killa,3145
Apache,313
Apathy,466
Arabian Prince,3183
Arin Hanson,29783
A$AP Ferg,15369
A$AP Nast,14607
A$AP Rocky,12417
A$AP Yams,69306
A$ton Matthews,29636
Asher Roth,453
Astronautalis,13457
Awol One,2743
Awkwafina,41162
AZ,14186
Azealia Banks,14186
Big Daddy Kane,202
Busta Rhymes,338
B-Legit,1423564
B-Real,1745
B.G.,1819
B.G. Knocc Out,352227
B.o.B,7922
Baby Bash,1617
Baby Boy da Prince,3377
Baby D,241761
Bad Azz,931
Badshah,67490
Baeza,22975
Bahamadia,3442
Baka Not Nice,78802
Bang Yong-guk,989566
Bangladesh,27665
Bas,685
Battlecat,46
Beanie Sigel,119
Becky G,30426
Benny Blanco,146039
Beenzino,53556
Benzino,45
Bhad Bhabie,1069179
Big Daddy Kane,202
Big Ed,3589
Big Gipp,3420
Big Hawk,7472
Big K.R.I.T.,491
Big Kuntry King,16006
Big L,103
Big Lurch,7747
Big Mello,3726
Big Mike,3623
Big Moe,2754
Big Noyd,3646
Big Pokey,3751
Big Pooh,2902
Big Pun,161
Big Reese,21982
Big Scoob,3707
Big Smo,86598
Big Sean,492
Big Shaq,1223820
Big Shug,3685
Big Syke,2571
Bigg D,47205
Billy Woods,13907
Birdman,86
Bishop Nehru,26248
Biz Markie,26362
Bizarre,1043
Bugz,28799
Bizzy,2458
Bizzy Bone,2458
BJ the Chicago Kid,1955
Black Milk,617
Black Rob,232
Black Thought,176
Blade Icewood,1217
Blaq Poet,3862
Blaze Ya Dead Homie,3149
BlocBoy JB,1254513
Blood Raw,525
Blu,459
Bob Doe,25947
Bobby Brackins,437
Bobby Creekwater,1410
Bobby Shmurda,197731
Bohemia,563
Boi-1da,1305072
Boldy James,11689
Bone Crusher,3905
Bones,38842
Booba,1282
Boondox,19281
Boosie Badazz,931
Boss,92
Bow Wow,745
Braille,2049
Brandun DeShay,1462
Brianna Perry,22463
Brisco,497
Brotha Lynch Hung,1088
Bruno Mars,500
Brother Ali,1257
Bryson Tiller,264368
Bubba Sparxxx,3187
Buckshot,2525
Buckwild,130646
Bumpy Knuckles,3535
Bun B,288
Busdriver,4185
Bushwick Bill,486
Busta Rhymes,338
Busy Bee Starski,27983
Butch Cassidy,790
B.o.B,7922
Biz Markie,26362
Bow Wow,745
Common,223
C-Bo,1282
C-Murder,3526
C-Note,14325
C-Rayz Walz,2796
Cage,44797
Cam'ron,1
Canibus,209
