artist_name,artist_id,,,
Battlecat,25044,,,
Just Ice,NA,,,
Machine Gun Kelly,1665,,,
Ninja,NA,,,
Redman,229,,,
stretch,NA,,,
Beat Junkies,NA,,,
Clipse,5,,,
deadly venoms,4934,,,
the force m.d.s,NA,,,
citation needed,NA,,,
II Tru,6622,,,
Mo Thugs,7321,,,
Phi Life Cypher,5383,,,
Skull Gang,1448041,,,
Terror Squad,373,,,
UTP,843,,,
Diamond,NA,,,
K'naan,481,,,
Macklemore,2026,,,
Nitty,14381,,,
"Nitty Scott, MC",NA,,,
Rick Rock,30963,,,
Scarface,127,,,
Black Star,354,,,
Cool & Dre,NA,,,
Earatik Statik,NA,,,
The Futuristiks,NA,,,
The High & Mighty,NA,,,
 INI,6659,,,
 MVP,NA,,,
 Quo,NA,,,
Soul Militia,NA,,,
 Tha Blue Herb,NA,,,
 Wisemen,11159,,,
Dres,NA,,,
Andre 3000,14266,,,
MC Hammer,1039,,,
"Noah ""40"" Shebib",NA,,,
Talib Kweli,388,,,
Z-Ro,588,,,
The Bomb Squad,NA,,,
The Conscious Daughters,NA,,,
Facemob,NA,,,
G-Unit,2035,,,
Hijack,18925,,,
Jet Life,19873,,,
Native Tongues,NA,,,
 Rascalz,NA,,,
Stereo MCs,191530,,,
Timbaland & Magoo,202244,,,
Ice-T,1256,,,
 AZ,81,,,
Metro Boomin,33010,,,
Offset,88813,,,
Scarface,127,,,
Ty Dolla $ign,25005,,,
Ty Dolla Sign,NA,,,
Ali & Gipp,348926,,,
Boo & Gotti,NA,,,
Ces Cru,14456,,,
La Familia,NA,,,
Goon Sqwad,1333,,,
Hip Hop Hoodíos,NA,,,
 Just D,NA,,,
 Next,1624,,,
 Ruff Ryders,1288,,,
The Sugarhill Gang,313,,,
 TRU,NA,,,
Fredwreck,6017,,,
 B.o.B,853,,,
Nas,56,,,
Pitbull,628,,,
Scott Storch,10233,,,
 Tyga,554,,,
ASAP Mob,21894,,,
The Bravehearts,1910,,,
Custom Made,NA,,,
 Fannypack,26745,,,
Grandwizard Theodore & the Fantastic Five,197021,,,
Hit Squad,NA,,,
Kane and Abel,357182,,,
Nice & Smooth,NA,,,
Rusty Ps,NA,,,
 Sweet Sensation,378615,,,
 Twinz,5976,,,
Jamal Woolard,NA,,,
C-Note,3748,,,
Nicki Minaj,92,,,
Pimp C,2444,,,
Scotty,NA,,,
V.I.C.,NA,,,
B.A.P,NA,,,
C.I.A.,NA,,,
The Dangerous Crew,3458,,,
First Words,NA,,,
 Made Men,3552,,,
Northstar,NA,,,
The Sequence,9913,,,
 The Team,10790,,,
 Ugly Duckling,1483,,,
Jay Rock,1403,,,
Dr. Dre,123,,,
Nate Dogg,149,,,
Quavo,NA,,,
Shad,NA,,,
Val Young,NA,,,
Basehead,NA,,,
Cash Money Millionaires,3609,,,
Flipmode Squad,2213,,,
 Marginal Prophets,NA,,,
 P$C,NA,,,
Showbiz and A.G.,10350,,,
 U.N.,NA,,,
Joey Badass,18047,,,
 DJ Fuze,NA,,,
Quan,NA,,,
Shorty,NA,,,
VL Mike,NA,,,
The Beat Bullies,NA,,,
 Me N Ma Girls,NA,,,
 The Pack,10789,,,
 Eazy-E,496,,,
 Rakim,NA,,,
Slug,1839,,,
Wyclef Jean,467,,,
 Fat Joe,83,,,
Lil B,455,,,
Smooth,NA,,,
21 Savage,430404,,,
